id,name
18,김포/고양/파주/연천/동두천/양주/의정부/포천/가평/남양주/구리
19,양평/여주/이천/광주/하남/성남/용인
20,안성/평택/오산/수원/화성/안산/시흥/부천/광명/안양/군포/과천/의왕
1,서울의 구
4,인천의 구
21,철원/화천/양구
22,춘천
23,원주
24,홍천/횡성/평창/영월
25,인제/고성/속초/양양
26,강릉
27,정선/동해/삼척/태백
28,태안/서산/당진
29,홍성/예산
30,아산/천안
8,세종
6,대전의 구
31,보령/서천
32,청양/부여/공주
33,논산/금산
34,진천/음성/중평/괴산
35,청주/청원
36,보은/옥천/영동
37,충주
38,제천/단양
39,군산/익산/김제/전주/완주
40,진안/무주/장수
41,부안/정읍/고창
42,임실/순창/남원
43,장성/영광/함평
44,담양/곡성/구례
45,신안/무안/목포
46,나주/화순
47,영암/장흥/강진/완도
48,보성/순천/광양/여수/고흥
49,해남/진도
5,광주의 구
50,상주/문경/예천/영주/봉화
51,울진/영양/영덕
52,안동/청송
53,의성
54,김천/구미/칠곡
55,성주/고령
3,대구의 구
56,영천/경산/청도
57,포항/경주
7,울산의 구
2,부산의 구
58,거창/함양/산청
59,합천/의령/창녕/밀양
60,하동/사천/진주/남해
61,함안/창원/김해/양산
62,고성/거제
63,제주
64,서귀포
65,울릉도
66,독도
